Timestamp,PlateNumber,ImagePath
2025-09-21 00:41:18,LAE0190,data/detected_plates\LAE0190_20250921004118.jpg
2025-09-21 00:41:19,DLSAE090,data/detected_plates\DLSAE090_20250921004119.jpg
2025-09-21 00:41:23,DLSAE0190,data/detected_plates\DLSAE0190_20250921004123.jpg
2025-09-21 00:41:25,DL1SAE0190,data/detected_plates\DL1SAE0190_20250921004125.jpg
2025-09-21 00:41:28,DL1AE190,data/detected_plates\DL1AE190_20250921004128.jpg
2025-09-21 00:41:29,DL1AE0190,data/detected_plates\DL1AE0190_20250921004129.jpg
2025-09-21 00:41:30,DL1SAE190,data/detected_plates\DL1SAE190_20250921004130.jpg
2025-09-21 00:41:32,DLAE19,data/detected_plates\DLAE19_20250921004132.jpg
2025-09-21 00:41:34,DLAE190,data/detected_plates\DLAE190_20250921004134.jpg
2025-09-21 00:41:35,DLAE019,data/detected_plates\DLAE019_20250921004135.jpg
2025-09-21 00:41:37,DLSAE19,data/detected_plates\DLSAE19_20250921004137.jpg
2025-09-21 00:41:40,DL1SAE0190,data/detected_plates\DL1SAE0190_20250921004140.jpg
2025-09-21 00:41:41,DLISAE190,data/detected_plates\DLISAE190_20250921004141.jpg
2025-09-21 00:41:43,DLISAE0190,data/detected_plates\DLISAE0190_20250921004143.jpg
2025-09-21 00:41:52,DL1SAE0190,data/detected_plates\DL1SAE0190_20250921004152.jpg
2025-09-21 00:41:57,DL1SAE190,data/detected_plates\DL1SAE190_20250921004157.jpg
2025-09-21 00:42:00,DL1SAEO190,data/detected_plates\DL1SAEO190_20250921004200.jpg
2025-09-21 00:42:02,DL1SAE0190,data/detected_plates\DL1SAE0190_20250921004202.jpg
2025-09-21 00:42:12,DLISAE0190,data/detected_plates\DLISAE0190_20250921004212.jpg
2025-09-21 00:42:16,DL1SAE0190,data/detected_plates\DL1SAE0190_20250921004216.jpg
2025-09-21 00:42:19,DLISAE190,data/detected_plates\DLISAE190_20250921004219.jpg
2025-09-21 00:42:20,DLSAE0190,data/detected_plates\DLSAE0190_20250921004220.jpg
2025-09-21 00:42:22,DL15AE0190,data/detected_plates\DL15AE0190_20250921004222.jpg
2025-09-21 00:42:26,DLAE0190,data/detected_plates\DLAE0190_20250921004226.jpg
2025-09-21 00:42:30,DLSAE0190,data/detected_plates\DLSAE0190_20250921004230.jpg
2025-09-21 00:42:32,DL1SAEO190,data/detected_plates\DL1SAEO190_20250921004232.jpg
2025-09-21 00:42:33,DL15AEO190,data/detected_plates\DL15AEO190_20250921004233.jpg
2025-09-21 00:42:35,DL1SAE0190,data/detected_plates\DL1SAE0190_20250921004235.jpg
2025-09-21 00:42:41,DL1SAE190,data/detected_plates\DL1SAE190_20250921004241.jpg
2025-09-21 00:42:44,DL15AE0190,data/detected_plates\DL15AE0190_20250921004244.jpg
2025-09-21 00:42:45,DL15AE190,data/detected_plates\DL15AE190_20250921004245.jpg
2025-09-21 00:49:56,IGAUS,data/detected_plates\IGAUS_20250921004956.jpg
2025-09-21 00:49:58,IGAUY,data/detected_plates\IGAUY_20250921004958.jpg
2025-09-21 01:03:36,PB10FC,data/detected_plates\PB10FC_20250921010336.jpg
